id,text_lemma,tokens_no_stopwords
0,jon jones be the goat it be so unbelievably hard what he do he become champ at 23 and stay champion until today he fight the good lightweight champion in their prime he be a double champ with multiple title defense lead in the history in title defense basically undefeated congrat to jon jones,goat unbelievably hard champ 23 stay champion today fight good lightweight champion prime double champ multiple title defense lead history title defense basically undefeated congrat
1,you can sense the aggression from jon do not touch I no friendly face off he do not want tom to be there at all,sense aggression touch I friendly face want tom
2,I guess this answer the question if you put jones and aspinall in a room who would come out first the answer be tom duck killa aspinall,I guess answer question aspinall room come answer tom duck killa aspinall
3,jones win the round but lose the fight,win round lose fight
4,it doesn t matter anyway jon you beat his assemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyhis kid can look back now and say their dad get beat up by an asshole suck for he not youemoji_handshake,doesn t matter beat assemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyhis kid look say dad beat asshole suck youemoji_handshake
5,dc be one of the few people on earth that could tank a bomb or takedown from bone lol,dc people earth tank bomb takedown bone lol
6,no knee be down I don t see how it be illegal I do however see alot of jones hater in these comment though,knee I don t illegal I alot hater comment
7,ngannou aspinall,ngannou aspinall
8,ripemoji_blue_heart,ripemoji_blue_heart
9,jon could easily kill he if there be no referee,easily kill referee
10,jon have year to fight francis and didn t he s lie he s happy to talk about a fight know that francis be currently under contract with pfl so jon can talk without actually fight that s what he do now,year fight francis didn t s lie s happy talk fight know francis currently contract pfl talk actually fight s
11,man look old than udoni,man look old udoni
12,he be a quitter a lot of people wish they be in his position shame on he for even compete in this sport,quitter lot people wish position shame compete sport
13,this fight should have never happen jones be x3 fast,fight happen x3 fast
14,jon bone siempre I ha precido una mi3rda de persona y siempre lo quiero ver perder pero es taan bueno y completo en su combate que a fin de cuentas lo termino respetando mucho nada que ver con conor o topuria u omalley etc ellos I caen mal y no los considero muy clmpletos,bone siempre I ha precido una mi3rda persona y siempre lo quiero ver perder pero es taan bueno y completo en su combate que fin cuentas lo termino respetando mucho nada que ver conor o topuria u omalley ellos I caen mal y los considero muy clmpletos
15,and jones do everything he can to avoid it include retire himself emoji_smiling_face_with_open_mouth_and_cold_sweatemoji_smiling_face_with_open_mouth_and_cold_sweatemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy,avoid include retire emoji_smiling_face_with_open_mouth_and_cold_sweatemoji_smiling_face_with_open_mouth_and_cold_sweatemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy
16,tell some idiot who compare ciryl can fight with francis ngannou tell they to compare jone jones fight with stipe now francis finish he in second round why stipe be not old as now shame to jone jones and his fan francis ngannou vs ciryl cane francis ngannou be even sick he have an operation on he s knee francis ngannou will kill jone jones,tell idiot compare ciryl fight francis ngannou tell compare jone fight stipe francis finish second round stipe old shame jone fan francis ngannou vs ciryl cane francis ngannou sick operation s knee francis ngannou kill jone
17,jon never beat chael wtf be this fake news,beat chael wtf fake news
18,this be why people love paddy,people love paddy
19,it s a fight let they knee jon jones the good ever,s fight let knee good
20,your dad and sister hate you your daughter want to change expensiv e,dad sister hate daughter want change expensiv e
21,no chance on beat fury or wilder,chance beat fury wilder
22,ok so do he call it,ok
23,чемпион чемпионов легенда,чемпион чемпионов легенда
24,I hope it s all hype to make the fight big and that he do end up fight tom I m not sure thou,I hope s hype make fight big end fight tom I m sure thou
25,that look on jon s face when they rob he in the mat hamil fight be a look we never see again jones loose jones ain t no looser,look s face rob mat hamil fight look loose ain t looser
26,real champ emoji_flexed_bicepsemoji_emoji_modifier_fitzpatrick_type_1_2,real champ emoji_flexed_bicepsemoji_emoji_modifier_fitzpatrick_type_1_2
27,the ufc should strip he of the belt or we all should start watch cage warrior and u no that song by cold play they wer all yellow emoji_smiling_face_with_open_mouth_and_cold_sweat,strip belt start watch cage warrior u song cold play wer yellow emoji_smiling_face_with_open_mouth_and_cold_sweat
28,and look at he now a proper emoji_duck,look proper emoji_duck
29,wow upload by the ufc thank you,wow upload thank
30,легенда,легенда
31,if reyes hadn t lose that fight he would have be a bonafide star of ufc,reyes hadn t lose fight bonafide star
32,he put his hand above mine time to only use my finger and poke his eye out the dirty bastard would get whoop if they glove the rest of the finger,hand time use finger poke eye dirty bastard whoop glove rest finger
33,yeah that s intimidate but I would ve say that s kinda gay,yeah s intimidate I ve say s kinda gay
34,aspinall will not win agains jones trust I,aspinall win agains trust I
35,bless he,bless
36,goat emoji_goat of mma,goat emoji_goat mma
37,honestly I totally get his perspective I don t think he be make that decision base on lose his heavy weight title he s already say he would rather vacate the title and move back down to his normal weight class,honestly I totally perspective I don t think make decision base lose heavy weight title s say vacate title normal weight class
38,dana we ll make an exception for you jones you can juice up without no one know deal jones pictogram pinch of salt owwww yeaah,dana ll make exception juice know deal pictogram pinch salt owwww yeaah
39,prochazka be come,prochazka come
40,quackquackquack emoji_duck,quackquackquack emoji_duck
41,clean I think his whole issue be he can t stay clean emoji_face_with_tears_of_joy,clean I think issue t stay clean emoji_face_with_tears_of_joy
42,he have 0 chance against fury wilder they will both put he to sleep,0 chance fury wilder sleep
43,this guy motivation suck you get this cmon you get this breathe you get this literally the bad coach cornerman I ve see in a long time,guy motivation suck cmon breathe literally bad coach cornerman I ve long time
44,легендарный последний император,легендарный последний император
45,all the shit talk about jon first achieve what jon do no only jon and khabib make history with no loss,shit talk achieve khabib make history loss
46,if that sound be real that s crazy probably break his cheek or orbital it probably cost he the fight,sound real s crazy probably break cheek orbital probably cost fight
47,a blind mind can see the promotion slip into political madness cater to one group of people while real fight fan get the shaft I ll never pay 80 to see trump and his clown posse show between every fight emoji_face_with_tears_of_joy,blind mind promotion slip political madness cater group people real fight fan shaft I ll pay 80 trump clown posse fight emoji_face_with_tears_of_joy
48,honestly prizepick be easy af cash ngl,honestly prizepick easy af cash ngl
49,why be we translate english to english,translate english english
50,wtactuallyf,wtactuallyf
51,lucky the other guy isn t the same kind of asshole he be that teabag would have end up around his ear he d of have new earring that look like walnut lol emoji_face_with_tears_of_joy,lucky guy isn t kind asshole teabag end ear d new earring look like walnut lol emoji_face_with_tears_of_joy
52,jon be look to rematch his wife at the hotel last time they go to decision and the cop rule it a no contest,look rematch wife hotel time decision cop rule contest
53,ank will beat tom watch,ank beat tom watch
54,great idea in the first place to bring nate to dagestan emoji_party_popperemoji_face_with_tears_of_joy,great idea place bring nate dagestan emoji_party_popperemoji_face_with_tears_of_joy
55,emoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy great cheat you mean khabib be the great,emoji_face_with_tears_of_joyemoji_face_with_tears_of_joyemoji_face_with_tears_of_joy great cheat mean khabib great
56,jon be absolutely think bad thought on that 3rd interruption,absolutely think bad thought 3rd interruption
57,nick very lucky there ngl,nick lucky ngl
58,in box that s what you call an e mail mickey mouse champion emoji_boxing_glove,box s e mail mickey mouse champion emoji_boxing_glove
59,hey can someone appreciate I,hey appreciate I
60,most people do not see what an utter psychopathic scumbag jon jones be the man have zero shame zero guilt zero principle zero moral,people utter psychopathic scumbag man zero shame zero guilt zero principle zero moral
61,12 million jones leave on the table because he don t want to get knock out he will retire for zero money emoji_duckemoji_duck,12 million leave table don t want knock retire zero money emoji_duckemoji_duck
62,another easy win for chael,easy win chael
63,jon jones be lose he viciously knee andre in the nut and punch elbow he several time when the fight be obviously stop jones be just a little kid in a man s body so scared to lose he ll disrespect the sport and his opponent because he s hungry for a win pathetic tiny brain mind,lose viciously knee andre nut punch elbow time fight obviously stop just little kid man s body scared lose ll disrespect sport opponent s hungry win pathetic tiny brain mind
64,brady didn t let patty mahomee,brady didn t let patty mahomee
65,dc still scar by his loss to jon jones emoji_rolling_on_the_floor_laughing,dc scar loss emoji_rolling_on_the_floor_laughing
66,it s hilarious listening to your interview jennifer duckster duck master jones listen to jennifer the duck everyone do everyone hear he loud and clear try to avoid the guy he def know be go to smoke his a emoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_duckemoji_duckemoji_duck,s hilarious listening interview jennifer duckster duck master listen jennifer duck hear loud clear try avoid guy def know smoke emoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_duckemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_hundred_points_symbolemoji_duckemoji_duckemoji_duck
67,jon s go to be remember for all the wrong thing,s remember wrong thing
68,what a bellend time for a new dana,bellend time new dana
69,jon do you think I m just go to sit here and let you get interview by I,think I m just sit let interview I
70,meanwhile jon be do hike in nm and think about other shit,hike nm think shit
71,fight he when he be 10 year young p,fight 10 year young p
72,more lie from brenda emoji_rolling_on_the_floor_laughing,lie brenda emoji_rolling_on_the_floor_laughing
73,behehehehehehhehhehehehehehehehehehehhehehehehehehehehe I,behehehehehehhehhehehehehehehehehehehhehehehehehehehehe I
74,that usa chant man great,usa chant man great
75,jones will never fight tom,fight tom
76,jon will tear tom leg apart just say,tear tom leg apart just say
77,jones get a grey beard emoji_face_with_tears_of_joy,grey beard emoji_face_with_tears_of_joy
78,this be your goat guy emoji_face_with_tears_of_joyemoji_face_with_tears_of_joy,goat guy emoji_face_with_tears_of_joyemoji_face_with_tears_of_joy
79,it s the same with canelo vs benavidez they only get to lose and nothing to gain,s canelo vs benavidez lose gain
80,john duck jones what a goat wooow,john duck goat wooow
81,emoji_face_with_tears_of_joy,emoji_face_with_tears_of_joy
82,it be beautiful truly speak like the sociopath he be,beautiful truly speak like sociopath
83,can t wait to see all the comment say jon be duck he when he s in the fight full mount rain ground and pound and choke he out bunch of casual who just start watch ufc in this comment section even after that dominant performance in jon s last fight it s goijng to happen again,t wait comment say duck s fight mount rain ground pound choke bunch casual just start watch comment section dominant performance s fight s goijng happen
84,if these fighter be so good you fight the good no question,fighter good fight good question
85,john bones the dodger,john bones dodger
86,forget the alcohol be matt riddleemoji_face_with_tears_of_joy,forget alcohol matt riddleemoji_face_with_tears_of_joy
87,sexual chocolate emoji_chocolate_bar,sexual chocolate emoji_chocolate_bar
88,he should fight tom for the belt then alex,fight tom belt alex
89,john jones be a fuckin bum that would get smash in a street fight,john fuckin bum smash street fight
90,jon jones goat drug cheat woman beater professional duck,goat drug cheat woman beater professional duck
91,easy fight on cke,easy fight cke
92,u forget to look under inside cage,u forget look inside cage
93,why not fight they both since your the goat prove the people wrong then john,fight goat prove people wrong john
94,I think the fan would much rather see jj fight ta way before he fight ap I would say if he beat sm then fight ta and if you win that fight then fight ap,I think fan jj fight ta way fight ap I say beat sm fight ta win fight fight ap
95,dc goat,dc goat
96,they all affect your legacy,affect legacy
97,the most impressive accomplishment from chael change body just for the time of a fight with jon jones clearly a wizard and the goat,impressive accomplishment chael change body just time fight clearly wizard goat
98,I just want it to be know that this make headline for his corner not call it and force he to call it bad mistake ever basically throw your boy under the bus emoji_minibus,I just want know make headline corner force bad mistake basically throw boy bus emoji_minibus
99,quitter never win emoji_trophy u need to go watch this full a whooping he get for he to quit like this,quitter win emoji_trophy u need watch whooping quit like
